Año,Trimestre,Provincia,Mbps (Media de bajada),Mbps Anterior,Tasa Crecimiento (%),Tasa de Crecimiento Nacional
2018,2,Córdoba,13.876809406349514,12.790571217400483,8.49249162126001,2.5246675897889332
2018,3,Córdoba,14.8182495375679,13.876809406349514,6.784269378144067,8.324331698442114
2018,4,Córdoba,15.813667433629776,14.8182495375679,6.71751338468318,5.580367094907888
2019,1,Córdoba,15.73486422864591,15.813667433629776,-0.4983233985070529,
2019,2,Córdoba,18.43151783191278,15.73486422864591,17.138079897489764,18.259854430743484
2019,3,Córdoba,23.19340236493985,18.43151783191278,25.83555286359664,16.888360796658546
2019,4,Córdoba,26.16228061451293,23.19340236493985,12.800529231799839,18.884175455077578
2020,1,Córdoba,29.39478783506133,26.16228061451293,12.355601823012476,
2020,2,Córdoba,30.987577637139463,29.39478783506133,5.418613024239269,6.276316256840573
2020,3,Córdoba,33.51119497419789,30.987577637139463,8.143964548018765,7.858649402260917
2020,4,Córdoba,35.120601241883946,33.51119497419789,4.802592891495587,4.8531219884997805
2021,1,Córdoba,36.16879932843764,35.120601241883946,2.9845676027426378,
2021,2,Córdoba,39.59011648994794,36.16879932843764,9.459305326788362,11.610982484911398
2021,3,Córdoba,41.92778724566202,39.59011648994794,5.904682690963088,5.347604194672346
2021,4,Córdoba,46.36090745799214,41.92778724566202,10.573227216489437,9.657630996904675
2022,1,Córdoba,49.89,46.36090745799214,7.612216273388498,
2022,2,Córdoba,53.51,49.89,7.25596311886149,7.445952921123078
2022,3,Córdoba,56.32,53.51,5.251354886937025,6.3322533795106635
2022,4,Córdoba,108.77,56.32,93.12855113636363,72.73424530878985
2023,1,Córdoba,109.57,108.77,0.7354969201066445,
2023,2,Córdoba,111.82,109.57,2.05348179246144,6.70950615695859
2023,3,Córdoba,111.5,111.82,-0.2861742085494484,3.3764198552336637
2023,4,Córdoba,114.03,111.5,2.269058295964127,8.394332752049946
2024,1,Córdoba,114.89,114.03,0.7541874945189857,
2014,2,Entre Ríos,3.312400309974538,3.1672900899827185,4.5815260323253515,
2014,3,Entre Ríos,3.3996079417526825,3.312400309974538,2.6327624567459083,1.4460894989660875
2014,4,Entre Ríos,3.800051787110069,3.3996079417526825,11.779118422430084,7.521960205964795
2015,1,Entre Ríos,4.3467465057866335,3.800051787110069,14.386507061060993,
2015,2,Entre Ríos,4.55056996750087,4.3467465057866335,4.689103941140695,4.155101136979908
2015,3,Entre Ríos,4.766712366729086,4.55056996750087,4.749787406233855,4.288346523025755
2015,4,Entre Ríos,5.007855905299356,4.766712366729086,5.058906852727551,4.050179325947438
2016,1,Entre Ríos,5.084574905605243,5.007855905299356,1.5319729991572404,
2016,2,Entre Ríos,5.131142783301248,5.084574905605243,0.9158657028470312,3.739131486651722
2016,3,Entre Ríos,5.586427488329489,5.131142783301248,8.872968932182436,6.436662227260549
2016,4,Entre Ríos,5.807350829127614,5.586427488329489,3.9546443815775287,4.256204195940437
2017,1,Entre Ríos,5.9514745757075245,5.807350829127614,2.4817468553309485,
2017,2,Entre Ríos,6.287810106292773,5.9514745757075245,5.651297444134077,4.873665540955408
2017,3,Entre Ríos,6.993400639349653,6.287810106292773,11.221562374326984,9.374415462028418
2017,4,Entre Ríos,9.295960619999066,6.993400639349653,32.924754341881076,39.68830573502551
2018,1,Entre Ríos,9.87523936699876,9.295960619999066,6.2315103374410885,
2018,2,Entre Ríos,10.186702751759965,9.87523936699876,3.1539831409257544,2.5246675897889332
2018,3,Entre Ríos,10.524753506287304,10.186702751759965,3.318549316351986,8.324331698442114
2018,4,Entre Ríos,11.023282490376957,10.524753506287304,4.736728359403764,5.580367094907888
2019,1,Entre Ríos,10.659197328953976,11.023282490376957,-3.3028742730744494,
2019,2,Entre Ríos,12.193357817950574,10.659197328953976,14.392833171680763,18.259854430743484
2019,3,Entre Ríos,14.69513286650061,12.193357817950574,20.517523441057577,16.888360796658546
2019,4,Entre Ríos,17.007580897657125,14.69513286650061,15.736149187381827,18.884175455077578
2020,1,Entre Ríos,19.029765335057498,17.007580897657125,11.889900448328538,
2020,2,Entre Ríos,20.448621178442583,19.029765335057498,7.455981817974415,6.276316256840573
2020,3,Entre Ríos,22.432598646206184,20.448621178442583,9.702255474589931,7.858649402260917
2020,4,Entre Ríos,24.05327825306045,22.432598646206184,7.224662788358484,4.8531219884997805
2021,1,Entre Ríos,23.87133437318357,24.05327825306045,-0.7564203014769223,
2021,2,Entre Ríos,27.61897306203556,23.87133437318357,15.699326356309564,11.610982484911398
2021,3,Entre Ríos,29.60123187949277,27.61897306203556,7.177163368836394,5.347604194672346
2021,4,Entre Ríos,33.31712584167462,29.60123187949277,12.553173385855459,9.657630996904675
2022,1,Entre Ríos,35.59,33.31712584167462,6.821939470788231,
2022,2,Entre Ríos,40.03,35.59,12.475414442259055,7.445952921123078
2022,3,Entre Ríos,42.49,40.03,6.145390956782415,6.3322533795106635
2022,4,Entre Ríos,87.47,42.49,105.86020240056482,72.73424530878985
2023,1,Entre Ríos,86.71,87.47,-0.8688693266262777,
2023,2,Entre Ríos,89.37,86.71,3.0676969207703966,6.70950615695859
2023,3,Entre Ríos,96.26,89.37,7.709522211032785,3.3764198552336637
2023,4,Entre Ríos,101.18,96.26,5.111157282360276,8.394332752049946
2024,1,Entre Ríos,101.36,101.18,0.17790077090333326,
2014,2,Formosa,2.6523512500000006,2.573729210919676,3.054790641795231,
2014,3,Formosa,2.656283015230384,2.6523512500000006,0.14823697390695098,1.4460894989660875
2014,4,Formosa,3.023326617826618,2.656283015230384,13.817940350923024,7.521960205964795
2015,1,Formosa,3.3811501123595504,3.023326617826618,11.835423021220299,
2015,2,Formosa,3.7649156840276494,3.3811501123595504,11.35014888174505,4.155101136979908
2015,3,Formosa,4.166164102194515,3.7649156840276494,10.657567176580603,4.288346523025755
2015,4,Formosa,4.660308568580684,4.166164102194515,11.860897801070292,4.050179325947438
2016,1,Formosa,4.872333380420963,4.660308568580684,4.54958740864775,
2016,2,Formosa,5.104132195866278,4.872333380420963,4.757449816073284,3.739131486651722
2016,3,Formosa,5.416131006999096,5.104132195866278,6.11267105083014,6.436662227260549
2016,4,Formosa,5.630674164916322,5.416131006999096,3.961188487501105,4.256204195940437
2017,1,Formosa,5.742388931901572,5.630674164916322,1.9840389216858514,
2017,2,Formosa,6.1786533146404965,5.742388931901572,7.597262879831741,4.873665540955408
2017,3,Formosa,7.06882153411281,6.1786533146404965,14.407155963307314,9.374415462028418
2017,4,Formosa,10.114170463766309,7.06882153411281,43.081423331416914,39.68830573502551
2018,1,Formosa,11.056815367469506,10.114170463766309,9.320041688838371,
2018,2,Formosa,8.974986530777175,11.056815367469506,-18.828467035972444,2.5246675897889332
