Año,Trimestre,Provincia,Banda ancha fija,Dial up
2021,2,Salta,191637,2.0
2021,2,San Juan,78677,256.0
2021,2,San Luis,122670,148.0
2021,2,Santa Cruz,48785,197.0
2021,2,Santa Fe,840449,151.0
2021,2,Santiago Del Estero,114089,1.0
2021,2,Tierra Del Fuego,35404,289.0
2021,2,Tucumán,233026,25.0
2021,1,Buenos Aires,4054936,5066.0
2021,1,Capital Federal,1378283,1390.0
2021,1,Catamarca,51967,1.0
2021,1,Chaco,139767,3.0
2021,1,Chubut,131515,825.0
2021,1,Córdoba,910826,55.0
2021,1,Corrientes,126622,3.0
2021,1,Entre Ríos,251950,13.0
2021,1,Formosa,50686,0.0
2021,1,Jujuy,110456,0.0
2021,1,La Pampa,96989,116.0
2021,1,La Rioja,52625,3.0
2021,1,Mendoza,218308,615.0
2021,1,Misiones,149387,0.0
2021,1,Neuquén,132862,373.0
2021,1,Río Negro,140667,501.0
2021,1,Salta,187572,2.0
2021,1,San Juan,78011,256.0
2021,1,San Luis,119006,148.0
2021,1,Santa Cruz,45868,197.0
2021,1,Santa Fe,825990,137.0
2021,1,Santiago Del Estero,111640,1.0
2021,1,Tierra Del Fuego,40133,289.0
2021,1,Tucumán,231890,22.0
2020,4,Buenos Aires,4028195,5066.0
2020,4,Capital Federal,1378140,1390.0
2020,4,Catamarca,52395,1.0
2020,4,Chaco,139088,3.0
2020,4,Chubut,129749,825.0
2020,4,Córdoba,902646,55.0
2020,4,Corrientes,125656,3.0
2020,4,Entre Ríos,247368,13.0
2020,4,Formosa,50206,0.0
2020,4,Jujuy,105851,0.0
2020,4,La Pampa,96779,116.0
2020,4,La Rioja,52775,3.0
2020,4,Mendoza,214838,615.0
2020,4,Misiones,147161,0.0
2020,4,Neuquén,132762,373.0
2020,4,Río Negro,140709,501.0
2020,4,Salta,187388,2.0
2020,4,San Juan,72340,256.0
2020,4,San Luis,119287,148.0
2020,4,Santa Cruz,40477,197.0
2020,4,Santa Fe,820676,137.0
2020,4,Santiago Del Estero,106668,1.0
2020,4,Tierra Del Fuego,39325,289.0
2020,4,Tucumán,231067,22.0
2020,3,Buenos Aires,3932211,5066.0
2020,3,Capital Federal,1371285,1390.0
2020,3,Catamarca,49903,1.0
2020,3,Chaco,133951,3.0
2020,3,Chubut,129202,825.0
2020,3,Córdoba,867417,55.0
2020,3,Corrientes,123388,3.0
2020,3,Entre Ríos,241482,13.0
2020,3,Formosa,49209,0.0
2020,3,Jujuy,106728,0.0
2020,3,La Pampa,93619,116.0
2020,3,La Rioja,52613,3.0
2020,3,Mendoza,207173,615.0
2020,3,Misiones,143186,0.0
2020,3,Neuquén,128862,373.0
2020,3,Río Negro,130966,501.0
2020,3,Salta,180844,2.0
2020,3,San Juan,77071,256.0
2020,3,San Luis,116417,148.0
2020,3,Santa Cruz,39084,197.0
2020,3,Santa Fe,802861,137.0
2020,3,Santiago Del Estero,105491,1.0
2020,3,Tierra Del Fuego,39366,289.0
2020,3,Tucumán,223854,22.0
2020,2,Buenos Aires,3772480,5066.0
2020,2,Capital Federal,1356431,1390.0
2020,2,Catamarca,47975,1.0
2020,2,Chaco,128129,3.0
2020,2,Chubut,107831,825.0
2020,2,Córdoba,836413,55.0
2020,2,Corrientes,118863,3.0
2020,2,Entre Ríos,234100,13.0
2020,2,Formosa,47932,0.0
2020,2,Jujuy,94316,0.0
2020,2,La Pampa,89693,116.0
2020,2,La Rioja,52152,3.0
2020,2,Mendoza,200569,615.0
2020,2,Misiones,140340,0.0
2020,2,Neuquén,125799,373.0
2020,2,Río Negro,128985,501.0
2020,2,Salta,177760,2.0
2020,2,San Juan,69521,256.0
2020,2,San Luis,113804,148.0
2020,2,Santa Cruz,38672,197.0
2020,2,Santa Fe,777795,137.0
2020,2,Santiago Del Estero,105446,1.0
2020,2,Tierra Del Fuego,38900,289.0
2020,2,Tucumán,217134,22.0
2020,1,Buenos Aires,3702985,5066.0
2020,1,Capital Federal,1352104,1390.0
2020,1,Catamarca,39634,1.0
2020,1,Chaco,120274,3.0
2020,1,Chubut,95938,800.0
2020,1,Córdoba,811044,55.0
2020,1,Corrientes,113967,3.0
2020,1,Entre Ríos,231833,13.0
2020,1,Formosa,46434,0.0
2020,1,Jujuy,91665,0.0
2020,1,La Pampa,89110,116.0
2020,1,La Rioja,48337,3.0
2020,1,Mendoza,182837,615.0
2020,1,Misiones,133552,0.0
2020,1,Neuquén,121354,373.0
2020,1,Río Negro,125699,501.0
2020,1,Salta,170379,2.0
2020,1,San Juan,63975,256.0
2020,1,San Luis,110404,148.0
2020,1,Santa Cruz,38625,197.0
2020,1,Santa Fe,770981,137.0
2020,1,Santiago Del Estero,102754,1.0
2020,1,Tierra Del Fuego,38505,289.0
2020,1,Tucumán,200045,22.0
